Protein.Group,Markers,markers
P46467,unknown,unknown
P46467;Q8VEJ9,unknown,unknown
P46471,unknown,unknown
P46638,unknown,unknown
P46656,unknown,unknown
P46662,unknown,unknown
P46664,unknown,unknown
P46735,unknown,unknown
P46737,unknown,unknown
P46935,unknown,unknown
P46938,unknown,unknown
P46978,ER_2,ER_2
P47199,CYTO_1,CYTO_1
P47713,unknown,unknown
P47738,MITO_2,MITO_2
P47738;Q62148,unknown,unknown
P47739,unknown,unknown
P47739;P47740,unknown,unknown
P47740,unknown,unknown
P47753,unknown,unknown
P47753;P47754,unknown,unknown
P47754,unknown,unknown
P47757,unknown,unknown
P47758,ER_2,ER_2
P47791,unknown,unknown
P47802,unknown,unknown
P47809,unknown,unknown
P47811,unknown,unknown
P47856,unknown,unknown
P47856;Q9Z2Z9,unknown,unknown
P47857,unknown,unknown
P47911,RCX_1,RCX_1
P47915,RCX_1,RCX_1
P47934,unknown,unknown
P47941,unknown,unknown
P47955,unknown,unknown
P47962,RCX_1,RCX_1
P47963,RCX_1,RCX_1
P47964,unknown,unknown
P47968,unknown,unknown
P48024,unknown,unknown
P48025,unknown,unknown
P48036,unknown,unknown
P48193,unknown,unknown
P48193;Q9WV92,unknown,unknown
P48410,unknown,unknown
P48428,unknown,unknown
P48453,unknown,unknown
P48453;P63328,unknown,unknown
P48678,NU_1,NU_1
P48722,unknown,unknown
P48722;Q61316,unknown,unknown
P48722;Q61316;Q61699,unknown,unknown
P48758,unknown,unknown
P48758;Q8K354,unknown,unknown
P48771,unknown,unknown
P48774,unknown,unknown
P48787,ST_1,ST_1
P48962,unknown,unknown
P48962;P51881,unknown,unknown
P48962;P51881;Q3V132,unknown,unknown
P48999,unknown,unknown
P49138,unknown,unknown
P49138;Q3UMW7,unknown,unknown
P49182,unknown,unknown
P49222,unknown,unknown
P49222;Q8BH61,unknown,unknown
P49300,unknown,unknown
P49312,NU_2,NU_2
P49312;Q8BG05,unknown,unknown
P49442,unknown,unknown
P49443,unknown,unknown
P49586,unknown,unknown
P49615,unknown,unknown
P49710,unknown,unknown
P49722,PX_1,PX_1
P49813,ST_1,ST_1
P49817,GE_1,GE_1
P49817;P51637,unknown,unknown
P49935,unknown,unknown
P49962,unknown,unknown
P50096,unknown,unknown
P50136,unknown,unknown
P50171,unknown,unknown
P50172,unknown,unknown
P50247,CYTO_1,CYTO_1
P50285,unknown,unknown
P50295,unknown,unknown
P50396,unknown,unknown
P50396;Q61598,unknown,unknown
P50427,unknown,unknown
P50428,unknown,unknown
P50431,unknown,unknown
P50431;Q9CZN7,unknown,unknown
P50446,unknown,unknown
P50446;Q6IME9;Q922U2,unknown,unknown
P50462,unknown,unknown
P50516,unknown,unknown
P50518,unknown,unknown
P50543,unknown,unknown
P50544,unknown,unknown
P50580,unknown,unknown
P50752,unknown,unknown
P51125,unknown,unknown
P51150,unknown,unknown
P51163,unknown,unknown
P51174,unknown,unknown
P51175,unknown,unknown
P51410,RCX_1,RCX_1
P51432,unknown,unknown
P51637,unknown,unknown
P51655,unknown,unknown
P51660,PERO_1,PERO_1
P51667,ST_1,ST_1
P51667;Q62082,unknown,unknown
P51791,unknown,unknown
P51807,unknown,unknown
P51830,unknown,unknown
P51855,unknown,unknown
P51859,unknown,unknown
P51859;Q3UMU9,unknown,unknown
P51863,unknown,unknown
P51881,unknown,unknown
P51885,unknown,unknown
P51912,unknown,unknown
P52196,MITO_2,MITO_2
P52293,unknown,unknown
P52332,unknown,unknown
P52430,unknown,unknown
P52479,unknown,unknown
P52480,unknown,unknown
P52480;P53657,unknown,unknown
P52503,MITO_1,MITO_1
P52623,unknown,unknown
P52623;Q99PM9,unknown,unknown
P52624,unknown,unknown
P52760,unknown,unknown
P52825,unknown,unknown
P52840,unknown,unknown
P52912;P70318,unknown,unknown
P53026,unknown,unknown
P53395,MITO_3,MITO_3
P53612,unknown,unknown
P53702,MITO_1,MITO_1
P53808,unknown,unknown
P53810,unknown,unknown
P53810;P53811,unknown,unknown
P53811,unknown,unknown
P53986,CM_1,CM_1
P53994,unknown,unknown
P53995,unknown,unknown
P53996,unknown,unknown
P54071,MITO_2,MITO_2
P54103,unknown,unknown
P54116,unknown,unknown
P54227,unknown,unknown
P54265,unknown,unknown
